domain,uri,government,live,ssl,enforce_https,non_www,redirect,ip,hostname,ipv6,dnssec,cdn,google_apps,could_provider,server,cms,analytics,javascript,advertising,slash_data,slash_developer,data_dot_json,click_jacking_protection,content_security_policy,xss_protection,secure_cookies,strict_transport_security,agency,last_checked
femalefarmerclaims.gov,https://www.femalefarmerclaims.gov,true,true,true,true,true,,64.235.28.70,"",false,false,false,false,false,Microsoft-IIS/7.5,"","","","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:49:28 -0400
foodsafetyjobs.gov,http://www.foodsafetyjobs.gov,true,true,false,false,true,www.fsis.usda.gov,199.140.114.2,befoodsafe.gov,,,,,,,,,,,,,,,,,,,Department of Agriculture,2014-07-07 09:50:40 -0400
foodsafetyworkinggroup.gov,http://foodsafetyworkinggroup.gov,true,true,false,false,true,,199.140.114.2,befoodsafe.gov,false,false,false,false,false,Microsoft-IIS/6.0,"","","","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:50:51 -0400
forestsandrangelands.gov,http://forestsandrangelands.gov,true,true,false,false,true,,199.141.138.51,"",false,false,false,false,false,Microsoft-IIS/6.0,"",google_analytics,"","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:51:06 -0400
www.fs.fed.us,http://www.fs.fed.us,true,true,false,false,false,,23.62.96.34,a23-62-96-34.deploy.static.akamaitechnologies.com,false,false,akamai,false,false,Apache/2.4.6 (Unix) PHP/5.4.27,drupal,google_analytics,jquery,"",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:51:23 -0400
fswg.gov,http://fswg.gov,true,true,false,false,true,,199.140.114.2,befoodsafe.gov,false,false,false,false,false,Microsoft-IIS/6.0,"","","","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:51:34 -0400
green.gov,http://www.green.gov,true,true,false,false,true,whitehouse.gov,23.15.7.107,a23-15-7-107.deploy.static.akamaitechnologies.com,,,,,,,,,,,,,,,,,,,Department of Agriculture,2014-07-07 09:51:40 -0400
hispanicfarmerclaims.gov,https://www.hispanicfarmerclaims.gov,true,true,true,true,true,,64.235.28.70,"",false,false,false,false,false,Microsoft-IIS/7.5,"","","","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:51:44 -0400
icbemp.gov,http://icbemp.gov,true,true,false,false,true,,199.141.1.21,icbemp.gov,false,false,false,false,false,Apache/2.4.4 (Win32) PHP/5.3.26,"","","","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:51:55 -0400
iiog.gov,http://iiog.gov,true,true,false,false,true,,162.79.25.44,"",false,false,false,false,false,Apache/2.2.21 (Unix) mod_ssl/2.2.21 OpenSSL/0.9.8a DAV/2 PHP/5.3.2,"","","","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:51:56 -0400
invasivespeciesinfo.gov,http://www.invasivespeciesinfo.gov,true,true,false,false,true,,199.136.16.214,web.nal.usda.gov,false,false,false,false,false,Apache/2.2.3 (CentOS),"",google_analytics,"","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:51:58 -0400
ipm.gov,http://ipm.gov,true,true,false,false,true,,152.14.68.8,onion.ipmpipe.org,false,false,false,false,false,Microsoft-IIS/7.0,"",google_analytics,"","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:51:59 -0400
isitdoneyet.gov,http://www.isitdoneyet.gov,true,true,false,false,true,www.fsis.usda.gov,199.140.114.2,befoodsafe.gov,,,,,,,,,,,,,,,,,,,Department of Agriculture,2014-07-07 09:52:00 -0400
itap.gov,http://www.itap.gov,true,true,false,false,true,,199.136.16.214,web.nal.usda.gov,false,false,false,false,false,Apache/2.2.3 (CentOS),drupal,google_analytics,jquery,"",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:52:02 -0400
latinofarmerclaims.gov,https://www.latinofarmerclaims.gov,true,true,true,true,true,,64.235.28.70,"",false,false,false,false,false,Microsoft-IIS/7.5,"","","","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:52:06 -0400
lcacommons.gov,https://www.lcacommons.gov,true,true,true,false,true,,199.136.16.184,lci.nal.usda.gov,false,false,false,false,false,nginx/1.6.0,drupal,google_analytics,jquery,"",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:52:09 -0400
mtbs.gov,http://mtbs.gov,true,true,false,false,true,,199.141.1.22,svinetfc6.fs.fed.us,false,false,false,false,false,Apache/2.2.22 (Win32) DAV/2 PHP/5.3.26,"",google_analytics,"","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:52:20 -0400
myplate.gov,http://myplate.gov,true,true,false,false,true,,162.79.16.72,fnsweb01.edc.usda.gov,false,false,false,false,false,Microsoft-IIS/7.5,"",google_analytics,"","",true,true,true,false,false,false,,false,Department of Agriculture,2014-07-07 09:52:21 -0400
nafri.gov,http://nafri.gov,true,true,false,false,true,,50.28.23.162,heatwave.charlottezweb.com,false,false,false,false,false,Apache/2.2.26 (Unix) mod_ssl/2.2.26 OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,"","","","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:53:43 -0400
nel.gov,http://nel.gov,true,true,false,false,true,,54.209.18.63,ec2-54-209-18-63.compute-1.amazonaws.com,false,false,false,false,amazon,Microsoft-IIS/7.5,"","chartbeat, google_analytics",jquery,"",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:53:49 -0400
nutrition.gov,http://www.nutrition.gov,true,true,false,false,true,,199.136.16.214,web.nal.usda.gov,false,false,false,false,false,Apache/2.2.3 (CentOS),drupal,google_analytics,jquery,"",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:53:52 -0400
nutritionevidencelibrary.gov,http://nutritionevidencelibrary.gov,true,true,false,false,true,,54.209.18.63,ec2-54-209-18-63.compute-1.amazonaws.com,false,false,false,false,amazon,Microsoft-IIS/7.5,"","chartbeat, google_analytics",jquery,"",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:54:00 -0400
www.nwcg.gov,http://www.nwcg.gov,true,true,false,false,false,,162.79.25.16,"",false,false,false,false,false,Apache/2.2.21 (Unix) mod_ssl/2.2.21 OpenSSL/0.9.8a DAV/2 PHP/5.3.2,"","","","",false,false,false,false,false,false,,false,Department of Agriculture,2014-07-07 09:54:11 -0400
pcip.gov,https://pcip.gov,true,true,true,true,true,,199.141.104.65,www.pcip.gov,false,false,false,false,false,Microsoft-IIS/7.0,"",google_analytics,"","",false,false,false,false,false,false,false,false,Department of Agriculture,2014-07-07 09:54:16 -0400
